"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","10/21/2011","01:37:10","","key [EMAIL] doesn't exist in struct (keys:ROUTE,action,controller)"
"ERROR","web-0","10/21/2011","01:40:07","","component [controllers.Sessions] has no  function with name [$initControllerClass]"
"ERROR","web-0","10/21/2011","01:40:50","","component [controllers.Sessions] has no  function with name [$initControllerClass]"
"ERROR","web-0","10/21/2011","01:41:59","","missing terminating [#] for expression"
"ERROR","web-0","10/21/2011","01:42:31","","No matching Method/Function [REDIRECTO] for call with named arguments found "
"ERROR","web-0","10/21/2011","01:49:15","","invalid call of the function listGetAt, second Argument (posNumber) is invalid, invalid string list index [2]"
"ERROR","web-0","10/21/2011","12:52:32","","key [EMAIL] doesn't exist in struct (keys:ROUTE,action,controller)"
"ERROR","web-0","10/21/2011","12:54:30","","Can't cast String [email] to a boolean"
"ERROR","web-0","10/21/2011","12:54:57","","key [EMAIL] doesn't exist in struct (keys:ROUTE,action,controller)"
"ERROR","web-0","10/21/2011","13:40:02","","No matching Method/Function for ISUSERCONNECTED()"
"ERROR","web-0","10/21/2011","13:41:32","","No matching Method/Function for ISUSERCONNECTED()"
"ERROR","web-0","10/21/2011","13:41:33","","No matching Method/Function for ISUSERCONNECTED()"
"ERROR","web-0","10/21/2011","13:48:42","","No matching Method/Function [ERRORMESSAGEFOR] for call with named arguments found "
"ERROR","web-0","10/21/2011","14:03:04","","can't cast String [FC05A8A2748C53D2BF01AD21503A6DCB2C3F32C4931F8A0E2CA132F0BE59B3208DD3B207A5BA20AB6827D6AAD293B15FCB57BF2A52259B6B75BD0D51E99B06BD] to a value of type [void]"
"ERROR","web-0","10/21/2011","14:05:14","","Component [models.User] has no acessible Member with name [ROLE]; enable [trigger data member] in admininistrator to also invoke getters and setters"
"ERROR","web-0","10/21/2011","14:08:07","","the function isUserConnected has a invalid return value , can't cast Object type [Boolean] to a value of type [void]"
"ERROR","web-0","10/21/2011","14:11:48","","No matching Method/Function for GETCURRENTUSERROLE()"
"ERROR","web-0","10/21/2011","14:12:58","","Can't cast Component [Model] to String"
"ERROR","web-0","10/21/2011","14:18:00","","key [USER] doesn't exist in struct (keys:ROUTE,action,controller)"
"ERROR","web-0","10/21/2011","14:21:35","","component [controllers.Users] has no  function with name [$initControllerClass]"
"ERROR","web-0","10/21/2011","14:22:29","","Component [models.Model] has no acessible Member with name [ROLE]; enable [trigger data member] in admininistrator to also invoke getters and setters"
"ERROR","web-0","10/21/2011","14:24:36","","Component [models.Model] has no acessible Member with name [ROLENAME]; enable [trigger data member] in admininistrator to also invoke getters and setters"
"ERROR","web-0","10/21/2011","14:25:02","","Component [models.Model] has no acessible Member with name [ROLENAME]; enable [trigger data member] in admininistrator to also invoke getters and setters"
"ERROR","web-0","10/21/2011","15:04:17","","The required parameter [user] was not provided."
"ERROR","web-0","10/21/2011","15:04:23","","The required parameter [user] was not provided."
"ERROR","web-0","10/21/2011","15:13:12","","variable [USER] doesn't exist"
"ERROR","web-0","10/21/2011","15:22:27","","key [KEY] doesn't exist in struct (keys:ROUTE,action,controller)"
"ERROR","web-0","10/21/2011","15:24:24","","No matching Method/Function for DISCONNECT()"
"ERROR","web-0","10/21/2011","15:24:28","","Page /views/users/forms/_user.cfm [C:\dev\websites\cfw-usermanager\views\users\forms\_user.cfm] not found"
"ERROR","web-0","10/21/2011","15:24:48","","Page /views/users/forms/_user.cfm [C:\dev\websites\cfw-usermanager\views\users\forms\_user.cfm] not found"
"ERROR","web-0","10/21/2011","15:24:57","","Page /views/users/forms/_user.cfm [C:\dev\websites\cfw-usermanager\views\users\forms\_user.cfm] not found"
"ERROR","web-0","10/21/2011","15:28:52","","Component [models.Role] has no acessible Member with name [ROLENAME]; enable [trigger data member] in admininistrator to also invoke getters and setters"
"ERROR","web-0","10/21/2011","16:00:46","","missing terminating [#] for expression"
